id,value,feed_id,created_at,lat,lon,ele
0DK255QXFNK1FC6ZKW52RMYS3S,859,676092,2017-05-15 20:39:07 UTC,,,
0DK255TZ4E8D9BB4PAWCMY0BF1,861,676092,2017-05-15 20:39:17 UTC,,,
0DK255Y0SZZ8NMT5HS3C6JPMBC,863,676092,2017-05-15 20:39:27 UTC,,,
0DK25612F3YST0YFE58FD4TAWE,861,676092,2017-05-15 20:39:37 UTC,,,
0DK2564448SQ23FM6W1S40GDJG,862,676092,2017-05-15 20:39:47 UTC,,,
0DK25675SFKGAVCF7GN13M9PF4,862,676092,2017-05-15 20:39:57 UTC,,,
0DK256A7EGS0K2EJ2H1Q3SMW6W,857,676092,2017-05-15 20:40:07 UTC,,,
0DK256D9275PFFQVQQQQJ2ZD61,855,676092,2017-05-15 20:40:17 UTC,,,
0DK256GAT4VT7915PQEF2MERA7,858,676092,2017-05-15 20:40:27 UTC,,,
0DK256KCD96C5FJGKY0HY8GXQ4,858,676092,2017-05-15 20:40:37 UTC,,,
0DK256PE1TQZ3JVEVH3H16867N,860,676092,2017-05-15 20:40:47 UTC,,,
0DK256SFPQ4RAP3CHY6CBS5S91,858,676092,2017-05-15 20:40:57 UTC,,,
0DK256WHBPTXMHKP7E0WGJXDP1,858,676092,2017-05-15 20:41:07 UTC,,,
0DK256ZK1MHBBEEJ3HFWEAZJBZ,857,676092,2017-05-15 20:41:17 UTC,,,
0DK2572MP0JP7TXF2J8QECQZZT,858,676092,2017-05-15 20:41:27 UTC,,,
0DK2575PAN4J5GYY11DVNXWNKS,861,676092,2017-05-15 20:41:37 UTC,,,
0DK2578R05FHSVPZPVZN0FFEHV,859,676092,2017-05-15 20:41:47 UTC,,,
0DK257BSNFPD46Y40KSEXKAMG9,863,676092,2017-05-15 20:41:57 UTC,,,
0DK257EVBFRG83JXW79YAPR1AT,861,676092,2017-05-15 20:42:07 UTC,,,
0DK257HWYM8H5RDZPX8J51Q9W8,866,676092,2017-05-15 20:42:17 UTC,,,
0DK257MYMR3HB3SZVT34TH94SZ,865,676092,2017-05-15 20:42:27 UTC,,,
0DK257R08NDFZ21W7S1FG817SE,865,676092,2017-05-15 20:42:37 UTC,,,
0DK257V1Y4HMA8ZGG0J6SH6V4M,866,676092,2017-05-15 20:42:47 UTC,,,
0DK257Y3K96DFZ9YV667B8H0J7,857,676092,2017-05-15 20:42:57 UTC,,,
0DK25816H8MYC3710N7Y28F4VD,857,676092,2017-05-15 20:43:07 UTC,,,
0DK25846X48CGJ3DQQ35PXG5KK,863,676092,2017-05-15 20:43:17 UTC,,,
0DK25878JA579VTEZEWBQVTX9G,861,676092,2017-05-15 20:43:27 UTC,,,
0DK258AA72HCR3TXE6AMNXP5EK,862,676092,2017-05-15 20:43:37 UTC,,,
0DK258DBWK52Y7AYPFHPHZQAJ5,862,676092,2017-05-15 20:43:47 UTC,,,
0DK258GDHM7MY13VQF0MZJPC8Z,863,676092,2017-05-15 20:43:57 UTC,,,
0DK258KF9D8FKG8YMD0ZNWP2XN,859,676092,2017-05-15 20:44:07 UTC,,,
0DK258PGVMYK9CZFZ18E4HXBNJ,863,676092,2017-05-15 20:44:17 UTC,,,
0DK258SJGBRBKRHK3P98CF3GR9,857,676092,2017-05-15 20:44:27 UTC,,,
0DK258WM5TQXMTZ3K6ZWGVXNFF,860,676092,2017-05-15 20:44:37 UTC,,,
0DK258ZNSZE0GCS7DT2G8EB5TX,857,676092,2017-05-15 20:44:47 UTC,,,
0DK2592QFYGC393JAQY67ETWR8,860,676092,2017-05-15 20:44:57 UTC,,,
0DK2595S4ZHA3GBMFMAEJB4Z3T,862,676092,2017-05-15 20:45:07 UTC,,,
0DK2598TRS75TEFXHTX2JR99F9,859,676092,2017-05-15 20:45:17 UTC,,,
0DK259BWG0RT2ZQP3J3JEQ9ZFF,856,676092,2017-05-15 20:45:27 UTC,,,
0DK259EY2YVCVEH8H5BWQDW55K,861,676092,2017-05-15 20:45:37 UTC,,,
0DK259HZRNEYZZ35C60RW5WZJ2,859,676092,2017-05-15 20:45:47 UTC,,,
0DK259N1E7JCZ207KGBH14RTA7,861,676092,2017-05-15 20:45:57 UTC,,,
0DK259R32M8NNC4FXABVRR9WZZ,860,676092,2017-05-15 20:46:07 UTC,,,
0DK259V4QBRNKVQM8Y0V6TS0F6,862,676092,2017-05-15 20:46:17 UTC,,,
0DK259Y6C1C0RFFBXP1D35XAYY,860,676092,2017-05-15 20:46:27 UTC,,,
0DK25A18259SR6NV3DG708F1EM,859,676092,2017-05-15 20:46:37 UTC,,,
