id,value,feed_id,created_at,lat,lon,ele;;;;;;
0DK154RR17PY7W0PPC0NXMJD1Z,853,675748,2017-05-14 14:47:50 UTC,,,;;;;;;
0DK154VSPGQQ33JQW95SZM7PB7,853,675748,2017-05-14 14:48:00 UTC,,,;;;;;;
0DK154YVATSHG5B53QNBWHD3SP,856,675748,2017-05-14 14:48:10 UTC,,,;;;;;;
0DK1551X05Y2QJHG98RGM1QHER,841,675748,2017-05-14 14:48:20 UTC,,,;;;;;;
0DK1554YN0EMH2S3XAG55XWVDM,853,675748,2017-05-14 14:48:30 UTC,,,;;;;;;
0DK155809QY9HAC6M9HJNG15CP,851,675748,2017-05-14 14:48:40 UTC,,,;;;;;;
0DK155B1YSN4D0GRX6NXCM84G9,826,675748,2017-05-14 14:48:50 UTC,,,;;;;;;
0DK155E3KQXGTCAJDM917D43KG,851,675748,2017-05-14 14:49:00 UTC,,,;;;;;;
0DK155H58NXG7PE0W5H3H5CM4F,850,675748,2017-05-14 14:49:10 UTC,,,;;;;;;
0DK155M6X51NDDV5W6JMPJPHJX,855,675748,2017-05-14 14:49:20 UTC,,,;;;;;;
0DK155Q8M568798GRFPFVN5Z3D,846,675748,2017-05-14 14:49:30 UTC,,,;;;;;;
0DK155TA7R7DP9QQ61TV4BZW08,852,675748,2017-05-14 14:49:40 UTC,,,;;;;;;
0DK155XBW2VAWPKXR180QAW1S9,854,675748,2017-05-14 14:49:50 UTC,,,;;;;;;
0DK1560DHGZ3Z11V4B4WZMM1HD,827,675748,2017-05-14 14:50:00 UTC,,,;;;;;;
0DK1563F72J8KCSHBY5QSS6YTB,827,675748,2017-05-14 14:50:10 UTC,,,;;;;;;
0DK1566GV23GSX1CW63VSYWQXC,826,675748,2017-05-14 14:50:20 UTC,,,;;;;;;
0DK1569JRJNX1ZNTAXAPCNEZKV,844,675748,2017-05-14 14:50:30 UTC,,,;;;;;;
0DK156CM5ETCYEGHT1A8PTJ7F8,849,675748,2017-05-14 14:50:40 UTC,,,;;;;;;
0DK156FNT6HG3J4TMTCG7R7W36,848,675748,2017-05-14 14:50:50 UTC,,,;;;;;;
0DK156JQFJY3WHD03RP5VJCBRY,841,675748,2017-05-14 14:51:00 UTC,,,;;;;;;
0DK156NS4X3G57Y8W4XW57S2ZB,844,675748,2017-05-14 14:51:10 UTC,,,;;;;;;
0DK156RTX107DPB3VCKD4CHRZ1,839,675748,2017-05-14 14:51:20 UTC,,,;;;;;;
